0,16384,16384,16384,16384,16384,16384,16384,32767
0,16572,16335,16661,16630,16928,16534,16410,32767
0,17004,15967,16692,16860,15801,14812,16711,32767
0,14859,16976,16495,16771,15640,15143,16088,32767
0,19099,16054,16615,17602,15597,14517,14848,32767
0,19586,13272,18702,16248,17154,16310,17152,32767
0,14287,13939,18432,15103,18885,16847,18033,32767
0,17539,16093,18766,14618,13106,17230,17357,32767
0,19369,18736,17385,19601,21455,14800,16035,32767
0,15601,15118,19037,15786,9460,10665,12924,32767
0,16600,18421,24556,17565,16128,17304,17672,32767
0,14135,20818,9378,18054,13493,14678,14523,32767
0,14993,16041,15208,13927,14193,13076,21015,32767
0,18548,19303,12456,17769,31230,16992,16352,32767
0,10037,16674,12813,18113,17778,20068,25539,32767
0,10471,16464,23158,11004,20674,19647,22649,32767
0,25064,14415,20612,7860,23828,9985,19495,32767
0,15004,13470,16340,12224,13959,6820,6096,32767
0,4025,13676,14964,17662,16336,16103,8503,32767
0,26164,7624,9339,3736,20255,15595,21039,32767
0,21545,13979,16198,6131,19222,14924,15006,32767
0,11687,19124,17372,27525,22739,20930,19144,32767
0,20476,2129,32767,18481,9845,9471,16375,32767
0,18392,20164,16760,17322,22983,19332,12337,32767
0,15578,12830,1704,20451,22529,7638,5921,32767
0,32767,5711,29557,8809,7314,17688,18814,32767
0,19043,32037,21181,13314,10755,25954,32767,32767
0,13869,13666,19341,17123,21086,18300,6241,32767
0,27480,24389,23811,14757,13005,26726,19225,32767
0,15295,32767,24868,4794,0,0,4853,32767
0,24240,11829,21355,2575,0,22100,26298,32767
0,12792,13218,8247,32767,21286,18827,529,32767
0,4856,15794,16207,19423,22985,11060,20072,32767
